Date received,Product,Company
4/3/2019,Credit card or prepaid card,BARCLAYS BANK DELAWARE
3/7/2020,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
3/18/2020,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
3/28/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
3/28/2019,Checking or savings account,JPMORGAN CHASE & CO.
12/26/2018,Debt collection,"National Credit Systems,Inc."
3/28/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
4/9/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
2/25/2019,Debt collection,ERC
3/27/2019,"Credit reporting, credit repair services, or other personal consumer reports",JPMORGAN CHASE & CO.
3/21/2019,Checking or savings account,"CITIBANK, N.A."
3/6/2019,"Credit reporting, credit repair services, or other personal consumer reports",U.S. BANCORP
12/15/2018,"Credit reporting, credit repair services, or other personal consumer reports","EQUIFAX, INC."
3/29/2019,Debt collection,ENCORE CAPITAL GROUP INC.
3/29/2019,Debt collection,Johnson Mark LLC
5/1/2019,Credit card or prepaid card,CAPITAL ONE FINANCIAL CORPORATION
3/7/2020,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
3/30/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
2/26/2019,Debt collection,"C & M Associates Group, Inc."
3/22/2019,Mortgage,Freedom Mortgage Company
4/15/2019,Mortgage,Quality Loan Service Corporation
3/25/2019,Credit card or prepaid card,U.S. BANCORP
3/30/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
12/2/2018,"Credit reporting, credit repair services, or other personal consumer reports","EQUIFAX, INC."
3/23/2019,Vehicle loan or lease,CREDIT ACCEPTANCE CORPORATION
4/10/2019,"Credit reporting, credit repair services, or other personal consumer reports",SYNCHRONY FINANCIAL
3/25/2019,"Credit reporting, credit repair services, or other personal consumer reports","Auto Trakk, LLC"
4/4/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
2/20/2019,Debt collection,"Nationwide Debt Reduction Services, LLC"
